sanskrit,hindi
Sarga Chapter- 2,Sarga Chapter- 2
॥ श्रीसीतारामचन्द्राभ्यां नमः॥ श्रीमद्वाल्मीकीय रामायण सुन्दरकाण्डम् द्वितीयः सर्गः (2),"(लंकापुरी का वर्णन, उसमें प्रवेश करने के विषय में हनुमान जी का विचार, उनका लघुरूप से पुरी में प्रवेश तथा चन्द्रोदय का वर्णन)"
स सागरमनाधृष्यमतिक्रम्य महाबलः। त्रिकूटस्य तटे लंकां स्थितः स्वस्थो ददर्श ह॥१॥,महाबली हनुमान् जी अलङ्घनीय समुद्र को पार करके त्रिकूट (लम्ब) नामक पर्वत के शिखर पर स्वस्थ भाव से खड़े हो लंकापुरी की शोभा देखने लगे॥१॥
ततः पादपमुक्तेन पुष्पवर्षेण वीर्यवान्। अभिवृष्टस्ततस्तत्र बभौ पुष्पमयो हरिः॥२॥,उस समय उनके ऊपर वहाँ वृक्षों से झड़े हुए फूलों की वर्षा होने लगी। इससे वहाँ बैठे हुए पराक्रमी हनुमान् फूल के बने हुए वानर के समान प्रतीत होने लगे॥२॥
योजनानां शतं श्रीमांस्ती प्युत्तमविक्रमः। अनिःश्वसन् कपिस्तत्र न ग्लानिमधिगच्छति॥३॥,उत्तम पराक्रमी श्रीमान् वानरवीर हनुमान् सौ योजन समुद्र लाँघकर भी वहाँ लम्बी साँस नहीं खींच रहे थे और न ग्लानि का ही अनुभव करते थे॥३॥
शतान्यहं योजनानां क्रमेयं सुबहून्यपि। किं पुनः सागरस्यान्तं संख्यातं शतयोजनम्॥४॥,"उलटे वे यह सोचते थे, मैं सौ-सौ योजनों के बहुत से समुद्र लाँघ सकता हूँ; फिर इस गिने-गिनाये सौ योजन समुद्र को पार करना कौन बड़ी बात है? ॥ ४॥"
स तु वीर्यवतां श्रेष्ठः प्लवतामपि चोत्तमः। जगाम वेगवाल्लंकां लङ्कयित्वा महोदधिम्॥५॥,बलवानों में श्रेष्ठ तथा वानरों में उत्तम वे वेगवान् पवन-कुमार महासागर को लाँघकर शीघ्र ही लंका में जा पहुँचे॥५॥
शादलानि च नीलानि गन्धवन्ति वनानि च। मधुमन्ति च मध्येन जगाम नगवन्ति च॥६॥,रास्ते में हरी-हरी दूब और वृक्षों से भरे हुए मकरन्दपूर्ण सुगन्धित वन देखते हुए वे मध्यमार्ग से जा रहे थे॥६॥
शैलांश्च तरुसंछन्नान् वनराजीश्च पुष्पिताः। अभिचक्राम तेजस्वी हनूमान् प्लवगर्षभः॥७॥,तेजस्वी वानरशिरोमणि हनुमान् वृक्षों से आच्छादित पर्वतों और फूलों से भरी हुई वन-श्रेणियों में विचरने लगे॥ ७॥
स तस्मिन्नचले तिष्ठन् वनान्युपवनानि च। स नगाग्रे स्थितां लंकां ददर्श पवनात्मजः॥८॥,उस पर्वत पर स्थित हो पवनपुत्र हनुमान् ने बहुत-से वन और उपवन देखे तथा उस पर्वत के अग्रभाग में बसी हुई लंका का भी अवलोकन किया॥८॥
सरलान् कर्णिकारांश्च खजूरांश्च सुपुष्पितान्। प्रियालान् मुचुलिन्दांश्च कुटजान् केतकानपि॥९॥ प्रियङ्गन् गन्धपूर्णांश्च नीपान् सप्तच्छदांस्तथा। असनान् कोविदारांश्च करवीरांश्च पुष्पितान्॥१०॥ पुष्पभारनिबद्धांश्च तथा मुकुलितानपि। पादपान् विहगाकीर्णान् पवनाधूतमस्तकान्॥११॥,"उन कपिश्रेष्ठ ने वहाँ सरल (चीड़), कनेर, खिले हुए खजूर, प्रियाल (चिरौंजी), मुचुलिन्द (जम्बीरीनीबू), कुटज, केतक (केवड़े), सुगन्धपूर्ण प्रियङ्ग (पिप्पली), नीप (कदम्ब या अशोक), छितवन, असन, कोविदार तथा खिले हुए करवीर भी देखे। फूलों के भार से लदे हुए तथा मुकुलित (अधखिले) बहुत-से वृक्ष उन्हें दृष्टिगोचर हुए, जिनमें पक्षी भरे हुए थे और हवा के झोंके से जिनकी डालियाँ झूम रही थीं॥९–११॥"
हंसकारण्डवाकीर्णा वापीः पद्मोत्पलावृताः। आक्रीडान् विविधान् रम्यान् विविधांश्च जलाशयान्॥१२॥,"हंसों और कारण्डवों से व्याप्त तथा कमल और उत्पल से आच्छादित हुई बहुत-सी बावड़ियाँ, भाँति-भाँति के रमणीय क्रीड़ास्थान तथा नाना प्रकार के जलाशय उनके दृष्टिपथ में आये॥ १२॥"
संततान् विविधैर्वृक्षः सर्वर्तुफलपुष्पितैः। उद्यानानि च रम्याणि ददर्श कपिकुञ्जरः॥१३॥,उन जलाशयों के चारों ओर सभी ऋतुओं में फलफूल देने वाले अनेक प्रकार के वृक्ष फैले हुए थे। उन वानरशिरोमणि ने वहाँ बहुत-से रमणीय उद्यान भी देखे॥ १३॥
समासाद्य च लक्ष्मीवॉल्लंकां रावणपालिताम्। परिखाभिः सपद्माभिः सोत्पलाभिरलंकृताम्॥१४॥ सीतापहरणात् तेन रावणेन सुरक्षिताम्। समन्ताद् विचरद्भिश्च राक्षसैरुग्रधन्वभिः॥१५॥,अद्भुत शोभा से सम्पन्न हनुमान जी धीरे-धीरे रावण-पालित लंकापुरी के पास पहुँचे। उसके चारों ओर खुदी हुई खाइयाँ उस नगरी की शोभा बढ़ा रही थीं। उनमें उत्पल और पद्म आदि कई जातियों के कमल खिले थे। सीता को हर लाने के कारण रावण ने लंकापुरी की रक्षा का विशेष प्रबन्ध कर रखा था। उसके चारों ओर भयंकर धनुष धारण करने वाले राक्षस घूमते रहते थे॥ १४-१५ ॥
काञ्चनेनावृतां रम्यां प्राकारेण महापुरीम्। गृहैश्च गिरिसंकाशैः शारदाम्बुदसंनिभैः॥१६॥,वह महापुरी सोने की चहारदीवारी से घिरी हुई थी तथा पर्वत के समान ऊँचे और शरद् ऋतु के बादलों के समान श्वेत भवनों से भरी हुई थी॥ १६॥
