sanskrit,hindi
Sarga Chapter- 39,Sarga Chapter- 39
॥ श्रीसीतारामचन्द्राभ्यां नमः॥ श्रीमद्वाल्मीकीय रामायण अयोध्याकाण्डम् एकोनचत्वारिंशः सर्गः (सर्ग 39),"राजा दशरथ का विलाप,कौसल्या का सीता को पतिसेवा का उपदेश, सीता के द्वारा उसकी स्वीकृति"
रामस्य तु वचः श्रुत्वा मुनिवेषधरं च तम्। समीक्ष्य सह भार्याभी राजा विगतचेतनः॥१॥,श्रीराम की बात सुनकर और उन्हें मुनिवेष धारण किये देख स्त्रियोंसहित राजा दशरथ शोक से अचेत हो गये॥१॥
नैनं दुःखेन संतप्तः प्रत्यवैक्षत राघवम्। न चैनमभिसम्प्रेक्ष्य प्रत्यभाषत दुर्मनाः॥२॥,दुःख से संतप्त होने के कारण वे श्रीराम की ओर भर आँख देख भी न सके और देखकर भी मन में दुःख होने के कारण उन्हें कुछ उत्तर न दे सके॥२॥
स मुहूर्तमिवासंज्ञो दुःखितश्च महीपतिः। विललाप महाबाहू राममेवानुचिन्तयन्॥३॥,"दो घड़ी तक अचेत-सा रहने के बाद जब उन्हें होश हुआ, तब वे महाबाहु नरेश श्रीराम का ही चिन्तन करते हुए दुःखी होकर विलाप करने लगे— ॥३॥"
मन्ये खल मया पूर्वं विवत्सा बहवः कृताः। प्राणिनो हिंसिता वापि तन्मामिदमुपस्थितम्॥ ४॥,"‘मालूम होता है, मैंने पूर्वजन्म में अवश्य ही बहुत सी गौओं का उनके बछड़ों से विछोह कराया है अथवा अनेक प्राणियों की हिंसा की है, इसी से आज मेरे ऊपर यह संकट आ पड़ा है॥ ४॥"
न त्वेवानागते काले देहाच्च्यवति जीवितम्। कैकेय्या क्लिश्यमानस्य मृत्युर्मम न विद्यते॥५॥,‘समय पूरा हुए बिना किसी के शरीर से प्राण नहीं निकलते; तभी तो कैकेयी के द्वारा इतना क्लेश पाने पर भी मेरी मृत्यु नहीं हो रही है॥ ५ ॥
योऽहं पावकसंकाशं पश्यामि पुरतः स्थितम्। विहाय वसने सूक्ष्मे तापसाच्छादमात्मजम्॥६॥,‘ओह! अपने अग्नि के समान तेजस्वी पुत्र को महीन वस्त्र त्यागकर तपस्वियों के-से वल्कल-वस्त्र धारण किये सामने खड़ा देख रहा हूँ (फिर भी मेरे प्राण नहीं निकलते हैं) ॥ ६॥
एकस्याः खलु कैकेय्याः कृतेऽयं खिद्यते जनः। स्वार्थे प्रयतमानायाः संश्रित्य निकृतिं त्विमाम्॥ ७॥,‘इस वरदानरूप शठता का आश्रय लेकर अपने स्वार्थसाधन के प्रयत्न में लगी हुई एकमात्र कैकेयी के कारण ये सब लोग महान् कष्ट में पड़ गये हैं ॥७॥
एवमुक्त्वा तु वचनं बाष्पेण विहतेन्द्रियः। रामेति सकृदेवोक्त्वा व्याहर्तुं न शशाक सः॥ ८॥,‘ऐसी बात कहते-कहते राजा के नेत्रों में आँसू भर आये। उनकी इन्द्रियाँ शिथिल हो गयीं और वे एक ही बार ‘हे राम!’ कहकर मूर्च्छित हो गये। आगे कुछ न बोल सके’ ॥ ८॥
संज्ञां तु प्रतिलभ्यैव मुहूर्तात् स महीपतिः। नेत्राभ्यामश्रुपूर्णाभ्यां सुमन्त्रमिदमब्रवीत्॥९॥,दो घड़ी बाद होश में आते ही वे महाराज आँसू-भरे नेत्रों से देखते हुए सुमन्त्र से इस प्रकार बोले- ॥९॥
औपवाह्यं रथं युक्त्वा त्वमायाहि हयोत्तमैः। प्रापयैनं महाभागमितो जनपदात् परम्॥१०॥,‘तुम सवारी के योग्य एक रथ को उसमें उत्तम घोड़े जोतकर यहाँ ले आओ और इन महाभाग श्रीराम को उसपर बिठाकर इस जनपद से बाहर तक पहुँचा आओ॥१०॥
एवं मन्ये गुणवतां गुणानां फलमुच्यते। पित्रा मात्रा च यत्साधुर्वीरो निर्वास्यते वनम्॥,"‘अपने श्रेष्ठ वीर पुत्र को स्वयं माता-पिता ही जब घर से निकालकर वन में भेज रहे हैं, तब ऐसा मालूम होता है कि शास्त्र में गुणवान् पुरुषों के गुणों का यही फल बताया जाता है’ ॥ ११॥"
राज्ञो वचनमाज्ञाय सुमन्त्रः शीघ्रविक्रमः। योजयित्वा ययौ तत्र रथमश्वैरलंकृतम्॥१२॥,राजा की आज्ञा शिरोधार्य करके शीघ्रगामी सुमन्त्र गये और उत्तम घोड़ों से सुशोभित रथ जोतकर ले आये॥ १२॥
तं रथं राजपुत्राय सूतः कनकभूषितम्। आचचक्षेऽञ्जलिं कृत्वा युक्तं परमवाजिभिः॥ १३॥,फिर सूत सुमन्त्र ने हाथ जोड़कर कहा—’महाराज! राजकुमार श्रीराम के लिये उत्तम घोड़ों से जुता हुआ सुवर्णभूषित रथ तैयार है’।॥ १३॥
राजा सत्वरमाहूय व्यापृतं वित्तसंचये। उवाच देशकालज्ञो निश्चितं सर्वतः शुचिः॥ १४॥,"तब देश और काल को समझने वाले, सब ओर से शुद्ध (इहलोक और परलोक से उऋण) राजा दशरथ ने तुरंत ही धन-संग्रह के व्यापार में नियुक्त कोषाध्यक्ष को बुलाकर यह निश्चित बात कही-॥ १४॥"
वासांसि च वराहा॑णि भूषणानि महान्ति च। वर्षाण्येतानि संख्याय वैदेह्याः क्षिप्रमानय॥१५॥,"‘तुम विदेहकुमारी सीता के पहनने योग्य बहुमूल्य वस्त्र और महान् आभूषण जो चौदह वर्षों के लिये पर्याप्त हों, गिनकर शीघ्र ले आओ’ ॥ १५ ॥"
नरेन्द्रेणैवमुक्तस्तु गत्वा कोशगृहं ततः। प्रायच्छत् सर्वमाहृत्य सीतायै क्षिप्रमेव तत्॥ १६॥,महाराज के ऐसा कहने पर कोषाध्यक्ष ने खजाने में जा वहाँ से सब चीजें लाकर शीघ्र ही सीता को समर्पित कर दीं॥ १६॥
सा सुजाता सुजातानि वैदेही प्रस्थिता वनम्। भूषयामास गात्राणि तैर्विचित्रैर्विभूषणैः ॥१७॥,उत्तम कुल में उत्पन्न अथवा अयोनिजा और वनवास के लिये प्रस्थित विदेहकुमारी सीता ने सुन्दर लक्षणों से युक्त अपने सभी अङ्गों को उन विचित्र आभूषणों से विभूषित किया॥१७॥
व्यराजयत वैदेही वेश्म तत् सुविभूषिता। उद्यतोऽशुमतः काले खं प्रभेव विवस्वतः॥१८॥,"उन आभूषणों से विभूषित हुई विदेहनन्दिनी सीता उस घर को उसी प्रकार सुशोभित करने लगीं, जैसे प्रातःकाल उगते हुए अंशुमाली सूर्य की प्रभा आकाश को प्रकाशित करती है॥ १८॥"
तां भुजाभ्यां परिष्वज्य श्वश्रूर्वचनमब्रवीत्। अनाचरन्तीं कृपणं मूर्युपाघ्राय मैथिलीम्॥ १९॥,उस समय सास कौसल्या ने कभी दुःखद बर्ताव न करने वाली मिथिलेशकुमारी सीता को अपनी दोनों भुजाओं से कसकर छाती से लगा लिया और उनके मस्तक को सूंघकर कहा- ॥ १९॥
असत्यः सर्वलोकेऽस्मिन सततं सत्कृताः प्रियैः । भर्तारं नानुमन्यन्ते विनिपातगतं स्त्रियः॥२०॥,"‘बेटी! जो स्त्रियाँ अपने प्रियतम पति के द्वारा सदा सम्मानित होकर भी संकट में पड़ने पर उसका आदर नहीं करती हैं, वे इस सम्पूर्ण जगत् में ‘असती’ (दुष्टा) के नाम से पुकारी जाती हैं॥ २० ॥"
एष स्वभावो नारीणामनुभूय पुरा सुखम्। अल्पामप्यापदं प्राप्य दुष्यन्ति प्रजहत्यपि॥२१॥,"‘दुष्टा स्त्रियों का यह स्वभाव होता है कि पहले तो वे पति के द्वारा यथेष्ट सुख भोगती हैं, परंतु जब वह थोड़ी-सी भी विपत्ति में पड़ता है, तब उस पर दोषारोपण करती और उसका साथ छोड़ देती हैं। २१॥"
असत्यशीला विकृता दुर्गा अहृदयाः सदा। असत्यः पापसंकल्पाः क्षणमात्रविरागिणः॥ २२॥,"‘जो झूठ बोलने वाली, विकृत चेष्टा करनेवाली, दुष्ट पुरुषों से संसर्ग रखने वाली, पति के प्रति सदा हृदयहीनता का परिचय देने वाली, कुलटा, पाप के ही मनसूबे बाँधने वाली और छोटी-सी बात के लिये भी क्षणमात्र में पति की ओर से विरक्त हो जाने वाली हैं, वे सब-की-सब असती या दुष्टा कही गयी हैं।२२ ॥"
न कुलं न कृतं विद्या न दत्तं नापि संग्रहः। स्त्रीणां गृह्णाति हृदयमनित्यहृदया हि ताः॥ २३॥,"‘उत्तम कुल, किया हुआ उपकार, विद्या, भूषण आदि का दान और संग्रह (पति के द्वारा स्नेहपूर्वक अपनाया जाना), यह सब कुछ दुष्टा स्त्रियों के हृदय को नहीं वश में कर पाता है; क्योंकि उनका चित्त अव्यवस्थित होता है॥"
साध्वीनां तु स्थितानां तु शीले सत्ये श्रुते स्थिते। स्त्रीणां पवित्रं परमं पतिरेको विशिष्यते॥२४॥,"‘इसके विपरीत जो सत्य, सदाचार, शास्त्रों की आज्ञा और कुलोचित मर्यादाओं में स्थित रहती हैं, उन साध्वी स्त्रियों के लिये एकमात्र पति ही परम पवित्र एवं सर्वश्रेष्ठ देवता है॥ २४॥"
स त्वया नावमन्तव्यः पुत्रः प्रव्राजितो वनम्। तव देवसमस्त्वेष निर्धनः सधनोऽपि वा ॥२५॥,"‘इसलिये तुम मेरे पुत्र श्रीराम का, जिन्हें वनवास की आज्ञा मिली है, कभी अनादर न करना। ये निर्धन हों या धनी, तुम्हारे लिये देवता के तुल्य हैं’ ॥ २५ ॥"
विज्ञाय वचनं सीता तस्या धर्मार्थसंहितम्। कृत्वाञ्जलिमुवाचेदं श्वश्रूमभिमुखे स्थिता॥ २६॥,सास के धर्म और अर्थयुक्त वचनों का तात्पर्य भलीभाँति समझकर उनके सामने खड़ी हुई सीता ने हाथ जोड़कर उनसे इस प्रकार कहा— ॥२६॥
करिष्ये सर्वमेवाहमार्या यदनुशास्ति माम्। अभिज्ञास्मि यथा भर्तुर्वर्तितव्यं श्रुतं च मे ॥२७॥,"‘आर्ये! आप मेरे लिये जो कुछ उपदेश दे रही हैं, मैं उसका पूर्णरूप से पालन करूँगी। स्वामी के साथ कैसा बर्ताव करना चाहिये, यह मुझे भलीभाँति विदित है; क्योंकि इस विषय को मैंने पहले से ही सुन रखा है।"
न मामसज्जनेनार्या समानयितुमर्हति। धर्माद् विचलितुं नाहमलं चन्द्रादिव प्रभा॥ २८॥,"‘पूजनीया माताजी! आपको मुझे असती स्त्रियों के समान नहीं मानना चाहिये; क्योंकि जैसे प्रभा चन्द्रमा से दूर नहीं हो सकती, उसी प्रकार मैं पतिव्रत धर्म से विचलित नहीं हो सकती॥ २८॥"
नातन्त्री वाद्यते वीणा नाचक्रो विद्यते रथः। नापतिः सुखमेधेत या स्यादपि शतात्मजा॥ २९॥,"‘जैसे बिना तार की वीणा नहीं बज सकती और बिना पहिये का रथ नहीं चल सकता है, उसी प्रकार नारी सौ बेटों की माता होने पर भी बिना पति के सुखी नहीं हो सकती॥ २९॥"
मितं ददाति हि पिता मितं भ्राता मितं सुतः। अमितस्य तु दातारं भर्तारं का न पूजयेत्॥३०॥,"‘पिता, भ्राता और पुत्र—ये परिमित सुख प्रदान करते हैं, परंतु पति अपरिमित सुख का दाता है उसकी सेवा से इहलोक और परलोक दोनों में कल्याण होता है; अतः ऐसी कौन स्त्री है, जो अपने पति का सत्कार नहीं करेगी॥३०॥"
साहमेवंगता श्रेष्ठा श्रुतधर्मपरावरा। आर्ये किमवमन्येयं स्त्रिया भर्ता हि दैवतम्॥ ३१॥,‘आर्ये! मैंने श्रेष्ठ स्त्रियों—माता आदि के मुख से नारी के सामान्य और विशेष धर्मों का श्रवण किया है। इस प्रकार पातिव्रत्य का महत्त्व जानकर भी मैं पति का क्यों अपमान करूँगी? मैं जानती हूँ कि पति ही स्त्री का देवता है’ ॥ ३१॥
सीताया वचनं श्रुत्वा कौसल्या हृदयङ्गमम्। शुद्धसत्त्वा मुमोचाश्रु सहसा दुःखहर्षजम्॥३२॥,सीता का यह मनोहर वचन सुनकर शुद्ध अन्तःकरण वाली देवी कौसल्या के नेत्रों से सहसा दुःख और हर्ष के आँसू बहने लगे॥ ३२ ॥
तां प्राञ्जलिरभिप्रेक्ष्य मातृमध्येऽतिसत्कृताम्। रामः परमधर्मात्मा मातरं वाक्यमब्रवीत्॥३३॥,तब परम धर्मात्मा श्रीराम ने माताओं के बीच में अत्यन्त सम्मानित होकर खड़ी हुई माता कौसल्या की ओर देख हाथ जोड़कर कहा- ॥३३॥
अम्ब मा दुःखिता भूत्वा पश्येस्त्वं पितरं मम। क्षयोऽपि वनवासस्य क्षिप्रमेव भविष्यति॥३४॥,‘माँ! (इन्हीं के कारण मेरे पुत्र का वनवास हुआ है; ऐसा समझकर) तुम मेरे पिताजी की ओर दुःखित होकर न देखना। वनवास की अवधि भी शीघ्र ही समाप्त हो जायगी॥ ३४॥
