sanskrit,hindi
Sarga Chapter- 2,Sarga Chapter- 2
॥ श्रीसीतारामचन्द्राभ्यां नमः॥ श्रीमद्वाल्मीकीय रामायण युद्धकाण्डम् द्वितीयः सर्गः (2),(सुग्रीव का श्रीराम को उत्साह प्रदान)
करना तं तु शोकपरिघुनं रामं दशरथात्मजम्। उवाच वचनं श्रीमान् सुग्रीवः शोकनाशनम्॥ १॥,इस प्रकार शोक से संतप्त हुए दशरथनन्दन श्रीराम से सुग्रीव ने उनके शोक का निवारण करने वाली बात कही— ॥१॥
किं त्वया तप्यते वीर यथान्यः प्राकृतस्तथा। मैवं भूस्त्यज संतापं कृतघ्न इव सौहृदम्॥२॥,"‘वीरवर! आप दूसरे साधारण मनुष्यों की भाँति क्यों संताप कर रहे हैं? आप इस तरह चिन्तित न हों। जैसे कृतघ्न पुरुष सौहार्द को त्याग देता है, उसी तरह आप भी इस संताप को छोड़ दें॥२॥"
संतापस्य च ते स्थानं नहि पश्यामि राघव। प्रवृत्तावुपलब्धायां ज्ञाते च निलये रिपोः॥३॥,"‘रघुनन्दन! जब सीता का समाचार मिल गया और शत्रु के निवास-स्थान का पता लग गया, तब मुझे आपके इस दुःख और चिन्ता का कोई कारण नहीं दिखायी देता॥३॥"
मतिमान् शास्त्रवित् प्राज्ञः पण्डितश्चासि राघव। त्यजेमां प्राकृतां बुद्धिं कृतात्मेवार्थदूषिणीम्॥४॥,"‘रघुकुलभूषण! आप बुद्धिमान्, शास्त्रों के ज्ञाता विचारकुशल और पण्डित हैं, अतः कृतात्मा पुरुष की भाँति इस अर्थदूषक प्राकृत बुद्धि का परित्याग कर दीजिये॥४॥"
समुद्रं लवयित्वा तु महानक्रसमाकुलम्। लङ्कामारोहयिष्यामो हनिष्यामश्च ते रिपुम्॥५॥,‘बड़े-बड़े नाकों से भरे हुए समुद्र को लाँघकर हम लोग लङ्का पर चढ़ाई करेंगे और आपके शत्रु को नष्ट कर डालेंगे॥५॥
निरुत्साहस्य दीनस्य शोकपर्याकुलात्मनः। सर्वार्था व्यवसीदन्ति व्यसनं चाधिगच्छति॥६॥,"‘जो पुरुष उत्साहशून्य, दीन और मन-ही-मन शोक से व्याकुल रहता है, उसके सारे काम बिगड़ जाते हैं और वह बड़ी विपत्ति में पड़ जाता है॥६॥"
इमे शूराः समर्थाश्च सर्वतो हरियूथपाः। त्वत्प्रियार्थं कृतोत्साहाः प्रवेष्टमपि पावकम्। एषां हर्षेण जानामि तर्कश्चापि दृढो मम॥७॥,‘ये वानरयूथपति सब प्रकार से समर्थ एवं शूरवीर हैं। आपका प्रिय करने के लिये इनके मन में बड़ा उत्साह है। ये आपके लिये जलती आग में भी प्रवेश कर सकते हैं। समुद्र को लाँघने और रावण को मारने का प्रसंग चलने पर इनका मुँह प्रसन्नता से खिल जाता है। इनके इस हर्ष और उत्साह से ही मैं इस बात को जानता हूँ तथा इस विषय में मेरा अपना तर्क (निश्चय) भी सुदृढ़ है॥७॥
विक्रमेण समानेष्ये सीतां हत्वा यथा रिपुम्। रावणं पापकर्माणं तथा त्वं कर्तुमर्हसि॥८॥,"‘आप ऐसा कीजिये, जिससे हमलोग पराक्रमपूर्वक अपने शत्रु पापाचारी रावण का वध करके सीता को यहाँ ले आवें॥ ८॥"
सेतुरत्र यथा बद्ध्येद् यथा पश्येम तां पुरीम्। तस्य राक्षसराजस्य तथा त्वं कुरु राघव॥९॥,"‘रघुनन्दन! आप ऐसा कोई उपाय कीजिये, जिससे समुद्र पर सेतु बँध सके और हम उस राक्षसराज की लङ्कापुरी को देख सकें॥९॥"
दृष्टा तां हि पुरीं लङ्गां त्रिकटशिखरे स्थिताम। हतं च रावणं युद्धे दर्शनादवधारय॥१०॥,‘त्रिकूटपर्वत के शिखर पर बसी हुई लङ्कापुरी एक बार दीख जाय तो आप यह निश्चित समझिये कि युद्ध में रावण दिखायी दिया और मारा गया॥ १० ॥
अबद्ध्वा सागरे सेतुं घोरे च वरुणालये। लङ्कां न मर्दितुं शक्या सेन्ट्रैरपि सुरासुरैः॥११॥,‘वरुण के निवासभूत घोर समुद्र पर पुल बाँधे बिना तो इन्द्रसहित सम्पूर्ण देवता और असुर भी लङ्का को पददलित नहीं कर सकते॥११॥
सेतुबन्धः समुद्रे च यावल्लङ्कासमीपतः। सर्वं तीर्णं च मे सैन्यं जितमित्युपधारय। इमे हि समरे वीरा हरयः कामरूपिणः॥१२॥,"‘अतः जब लङ्काके निकटतक समुद्रपर पुल बँध जायगा, तब हमारी सारी सेना उस पार चली जायगी। फिर तो आप यही समझिये कि अपनी जीत हो गयी; क्योंकि इच्छानुसार रूप धारण करने वाले ये वानर युद्ध में बड़ी वीरता दिखानेवाले हैं॥ १२॥"
